Team,Mat,Won,Tied,Draw,Runs,Wkts,Balls,Ave,RPO,Year
Australia,2,2,0,0,1417,75,3560,18.89,2.38,1877
Australia,1,1,0,0,548,30,1198,18.26,2.74,1879
Australia,1,1,0,0,953,35,1986,27.22,2.87,1880
Australia,1,0,0,1,1049,33,2769,31.78,2.27,1881
Australia,5,4,0,1,3280,162,8527,20.24,2.3,1882
Australia,3,3,0,0,2153,106,5657,20.31,2.28,1883
Australia,4,2,0,2,3062,111,7128,27.58,2.57,1884
Australia,4,4,0,0,2866,132,7710,21.71,2.23,1885
Australia,3,3,0,0,1909,96,5623,19.88,2.03,1886
Australia,2,2,0,0,984,80,3228,12.3,1.82,1887
Australia,4,4,0,0,1485,140,3904,10.6,2.28,1888
Australia,2,2,0,0,1007,71,3217,14.18,1.87,1890
Australia,3,3,0,0,2664,109,7774,24.44,2.05,1892
Australia,3,1,0,2,2561,92,5372,27.83,2.86,1893
Australia,2,2,0,0,2520,80,5983,31.5,2.52,1894
Australia,3,3,0,0,2701,102,5797,26.48,2.79,1895
Australia,3,3,0,0,2268,111,4776,20.43,2.84,1896
Australia,1,1,0,0,1292,31,2545,41.67,3.04,1897
Australia,4,4,0,0,4021,126,9257,31.91,2.6,1898
Australia,5,1,0,4,4550,149,9865,30.53,2.76,1899
Australia,1,1,0,0,804,30,1895,26.8,2.54,1901
Australia,12,9,0,3,9268,391,19110,23.7,2.9,1902
Australia,1,1,0,0,1541,35,3245,44.02,2.84,1903
Australia,4,4,0,0,3216,157,7200,20.48,2.68,1904
Australia,5,2,0,3,4650,150,9449,31,2.95,1905
Australia,1,1,0,0,1148,38,2254,30.21,3.05,1907
Australia,4,4,0,0,4623,159,9779,29.07,2.83,1908
Australia,5,3,0,2,3669,159,8145,23.07,2.7,1909
Australia,2,2,0,0,2203,70,3534,31.47,3.74,1910
Australia,5,5,0,0,6382,184,11473,34.68,3.33,1911
Australia,9,6,0,3,6816,247,14904,27.59,2.74,1912
Australia,2,2,0,0,2226,68,4570,32.73,2.92,1920
Australia,11,7,0,4,11147,327,21363,34.08,3.13,1921
Australia,1,1,0,0,1611,40,3639,40.27,2.65,1924
Australia,4,4,0,0,5086,150,12209,33.9,2.49,1925
Australia,5,1,0,4,3909,96,9395,40.71,2.49,1926
Australia,3,3,0,0,3850,102,9765,37.74,2.36,1928
Australia,2,2,0,0,2976,75,8418,39.68,2.12,1929
Australia,6,4,0,2,6744,169,14990,39.9,2.69,1930
Australia,7,7,0,0,5772,217,13246,26.59,2.61,1931
Australia,4,4,0,0,3178,129,7262,24.63,2.62,1932
Australia,3,3,0,0,3440,104,8179,33.07,2.52,1933
Australia,5,3,0,2,5712,151,12997,37.82,2.63,1934
Australia,2,1,0,1,2233,63,4791,35.44,2.79,1935
Australia,5,5,0,0,3980,152,9797,26.18,2.43,1936
Australia,3,3,0,0,3465,108,7778,32.08,2.67,1937
Australia,4,2,0,2,4780,116,9503,41.2,3.01,1938
Australia,3,3,0,0,2538,86,5991,29.51,2.54,1946
Australia,5,2,0,3,4891,154,11861,31.75,2.47,1947
Australia,8,7,0,1,8996,244,20247,36.86,2.66,1948
Australia,2,2,0,0,1965,59,4471,33.3,2.63,1949
Australia,5,4,0,1,3908,156,9534,25.05,2.45,1950
Australia,7,7,0,0,6797,241,16600,28.2,2.45,1951
Australia,3,3,0,0,2950,120,7707,24.58,2.29,1952
Australia,8,3,0,5,7999,254,19928,31.49,2.4,1953
Australia,3,3,0,0,2722,108,6609,25.2,2.47,1954
Australia,7,4,0,3,7780,206,16677,37.76,2.79,1955
Australia,9,6,0,3,6416,273,18376,23.5,2.09,1956
Australia,2,1,0,1,1958,62,5359,31.58,2.19,1957
Australia,5,4,0,1,3720,153,12388,24.31,1.8,1958
Australia,8,6,0,2,6872,253,17593,27.16,2.34,1959
Australia,5,2,1,2,4856,159,11773,30.54,2.47,1960
Australia,8,5,0,3,8758,271,21244,32.31,2.47,1961
Australia,2,1,0,1,2565,63,6019,40.71,2.55,1962
Australia,4,1,0,3,4037,120,10475,33.64,2.31,1963
Australia,14,5,0,9,14580,413,34852,35.3,2.51,1964
Australia,7,3,0,4,7842,213,17249,36.81,2.72,1965
Australia,5,4,0,1,5850,154,13122,37.98,2.67,1966
Australia,5,4,0,1,4811,162,10637,29.69,2.71,1967
Australia,9,6,0,3,9219,307,23538,30.02,2.34,1968
Australia,8,6,0,2,8782,268,20560,32.76,2.56,1969
Australia,6,4,0,2,6853,207,15687,33.1,2.62,1970
Australia,4,2,0,2,4394,124,11149,35.43,2.36,1971
Australia,7,6,0,1,7315,228,15865,32.08,2.76,1972
Australia,7,4,0,3,7341,209,16706,35.12,2.63,1973
Australia,8,5,0,3,7963,264,18356,30.16,2.6,1974
Australia,10,7,0,3,10804,317,21885,34.08,2.96,1975
Australia,4,3,0,1,4896,138,9211,35.47,3.18,1976
Australia,13,10,0,3,13260,438,27764,30.27,2.86,1977
Australia,10,9,0,1,9796,350,21738,27.98,2.7,1978
Australia,14,9,0,5,13729,451,31373,30.44,2.62,1979
Australia,10,6,0,4,9326,295,19846,31.61,2.81,1980
Australia,13,10,0,3,12724,461,26886,27.6,2.83,1981
Australia,12,9,0,3,12046,364,24688,33.09,2.92,1982
Australia,6,2,0,4,6509,164,12249,39.68,3.18,1983
Australia,11,8,0,3,10533,332,20462,31.72,3.08,1984
Australia,11,7,0,4,11545,321,24246,35.96,2.85,1985
Australia,11,3,1,7,10927,264,23202,41.39,2.82,1986
Australia,4,2,0,2,4286,136,10126,31.51,2.53,1987
Australia,8,5,0,3,7825,250,16987,31.3,2.76,1988
Australia,11,6,0,5,12598,319,25721,39.49,2.93,1989
Australia,6,4,0,2,4955,178,11890,27.83,2.5,1990
Australia,10,6,0,4,10183,311,20430,32.74,2.99,1991
Australia,8,4,0,4,8654,274,18715,31.58,2.77,1992
Australia,16,11,0,5,16347,454,34871,36,2.81,1993
Australia,10,7,0,3,10822,341,23826,31.73,2.72,1994
Australia,12,10,0,2,11548,386,23170,29.91,2.99,1995
Australia,5,5,0,0,5235,172,11088,30.43,2.83,1996
Australia,15,12,0,3,14020,486,28281,28.84,2.97,1997
Australia,12,8,0,4,13125,374,26765,35.09,2.94,1998
Australia,14,12,0,2,12868,453,25944,28.4,2.97,1999
Australia,8,8,0,0,7168,260,13689,27.56,3.14,2000
Australia,14,11,0,3,15596,428,27054,36.43,3.45,2001
Australia,11,11,0,0,11455,348,19709,32.91,3.48,2002
Australia,12,11,0,1,14768,364,24884,40.57,3.56,2003
Australia,14,11,0,3,15791,491,28869,32.16,3.28,2004
Australia,15,11,0,4,16777,502,28945,33.42,3.47,2005
Australia,10,10,0,0,11462,317,20431,36.15,3.36,2006
Australia,4,4,0,0,4398,118,7791,37.27,3.38,2007
Australia,14,10,0,4,17540,467,31742,37.55,3.31,2008
Australia,13,10,0,3,15520,424,27140,36.6,3.43,2009
Australia,12,11,0,1,13495,401,24286,33.65,3.33,2010
Australia,9,7,0,2,8766,304,16407,28.83,3.2,2011
Australia,11,8,0,3,12221,347,22648,35.21,3.23,2012
Australia,14,12,0,2,15396,474,28858,32.48,3.2,2013
Australia,9,8,0,1,11469,304,19348,37.72,3.55,2014
Australia,13,11,0,2,14316,395,23392,36.24,3.67,2015
Australia,11,10,0,1,11302,354,20307,31.92,3.33,2016
Australia,11,9,0,2,11349,361,22726,31.43,2.99,2017
Australia,10,9,0,1,10651,363,21485,29.34,2.97,2018
