Team,Mat,Won,Lost,Tied,Draw,Undecided,W/L,Ave,RPO,Inns,HS,LS,Year
Australia,2,1,1,0,0,0,1,18.71,2.16,4,259,104,1877
Australia,1,1,0,0,0,0,-,27.5,2.53,2,256,256,1879
Australia,1,0,1,0,0,0,0,23.8,2.83,2,327,149,1880
Australia,1,0,0,0,1,1,0,34.38,2.29,2,320,320,1881
Australia,5,4,0,0,1,1,-,21.8,2.17,9,300,63,1882
Australia,3,1,2,0,0,0,0.5,18.37,2.12,6,262,83,1883
Australia,4,0,2,0,2,2,0,26.56,2.55,6,551,145,1884
Australia,4,2,2,0,0,0,1,19.25,1.86,8,309,125,1885
Australia,3,0,3,0,0,0,0,13.2,1.95,6,205,68,1886
Australia,2,0,2,0,0,0,0,11.25,1.75,4,150,84,1887
Australia,4,1,3,0,0,0,0.333,7.88,2.09,8,116,42,1888
Australia,2,0,2,0,0,0,0,12.55,1.71,4,176,92,1890
Australia,3,2,1,0,0,0,2,21.69,1.66,6,391,100,1892
Australia,3,0,1,0,2,2,0,22.98,3.11,5,349,91,1893
Australia,2,0,2,0,0,0,0,30.2,2.79,4,586,123,1894
Australia,3,2,1,0,0,0,2,32.28,2.92,5,414,238,1895
Australia,3,1,2,0,0,0,0.5,19.29,2.69,6,412,44,1896
Australia,1,0,1,0,0,0,0,32.25,2.91,2,408,237,1897
Australia,4,4,0,0,0,0,-,44.47,2.9,6,573,239,1898
Australia,5,1,0,0,4,4,-,30.93,2.7,10,421,172,1899
Australia,1,0,1,0,0,0,0,17,2.61,2,172,168,1901
Australia,12,8,1,0,3,3,8,25.41,2.99,22,372,36,1902
Australia,1,0,1,0,0,0,0,38.5,2.92,2,485,285,1903
Australia,4,2,2,0,0,0,1,20.67,3.11,8,388,111,1904
Australia,5,0,2,0,3,3,0,23.56,3.32,9,363,169,1905
Australia,1,1,0,0,0,0,-,31.94,3.02,2,300,300,1907
Australia,4,3,1,0,0,0,3,32.65,2.99,8,506,137,1908
Australia,5,2,1,0,2,2,2,24.71,2.86,10,350,74,1909
Australia,2,2,0,0,0,0,-,40.1,4.47,3,528,327,1910
Australia,5,3,2,0,0,0,1.5,37.74,3.69,10,578,184,1911
Australia,9,2,4,0,3,3,0.5,25.79,2.81,14,476,65,1912
Australia,2,2,0,0,0,0,-,44.9,3.02,3,581,267,1920
Australia,11,7,0,0,4,4,-,39.4,3.48,20,582,175,1921
Australia,1,1,0,0,0,0,-,45.1,2.43,2,452,450,1924
Australia,4,3,1,0,0,0,3,34.1,2.52,8,600,250,1925
Australia,5,0,1,0,4,4,0,33.32,2.4,6,494,125,1926
Australia,3,0,3,0,0,0,0,28.83,2.32,6,397,66,1928
Australia,2,1,1,0,0,0,1,42.37,2.06,4,491,336,1929
Australia,6,3,1,0,2,2,3,49.76,2.77,9,729,144,1930
Australia,7,6,1,0,0,0,6,38.29,3.23,9,558,198,1931
Australia,4,3,1,0,0,0,3,28.5,3.22,7,513,153,1932
Australia,3,0,3,0,0,0,0,26.67,2.98,6,435,175,1933
Australia,5,2,1,0,2,2,2,40.73,3.07,9,701,118,1934
Australia,2,1,0,0,1,1,-,45.86,2.96,4,429,250,1935
Australia,5,3,2,0,0,0,1.5,29.57,2.86,7,455,58,1936
Australia,3,3,0,0,0,0,-,42.63,2.81,5,604,288,1937
Australia,4,1,1,0,2,2,1,33.92,3.04,8,427,123,1938
Australia,3,3,0,0,0,0,-,57.8,2.91,3,659,645,1946
