Team,Span,Mat,Won,Lost,Tied,Draw,W/L,Ave,RPO,Inns,HS,LS,StartDate
Australia,1877-2021,834,394,226,2,212,1.743,34.33,2.95,1521,758,36,15.03.1877
England,1877-2021,1036,377,309,0,350,1.22,32.2,2.75,1864,903,45,15.03.1877
West Indies,1928-2021,556,177,201,1,177,0.88,31.7,2.99,1011,790,47,23.06.1928
South Africa,1889-2021,445,169,152,0,124,1.111,31.92,2.81,811,682,30,12.03.1889
India,1932-2021,551,162,170,1,218,0.952,33.85,2.93,976,759,36,25.06.1932
Pakistan,1952-2021,437,142,133,0,162,1.067,32.61,2.91,783,765,49,16.10.1952
New Zealand,1930-2021,449,107,175,0,167,0.611,29.43,2.69,825,715,26,10.01.1930
Sri Lanka,1982-2021,297,93,113,0,91,0.823,32.36,3.09,543,952,71,17.02.1982
Bangladesh,2000-2021,124,15,92,0,17,0.163,25.1,3.13,242,638,43,10.11.2000
Zimbabwe,1992-2021,115,13,74,0,28,0.175,26.19,2.7,221,563,51,18.10.1992
Afghanistan,2018-2021,6,3,3,0,0,1,24.78,3.05,12,545,103,14.06.2018
ICC World XI,2005-2005,1,0,1,0,0,0,16.7,3.43,2,190,144,
Ireland,2018-2019,3,0,3,0,0,0,19.56,2.9,6,339,38,11.05.2018
